Jugador anonimizado;Minutos;"Avg Dist
(Sess)
(m)";"ZONA 4
19,9 A
25,1 KM/H";"ZONA 5
> 25,1
KM/H";"#ACELE
RACIONES
INTENSAS";"#DES
ACELERACIONES
INTENSAS";"# ACEL
+ DESINTENSAS";"#CANTIDAD
SPRINTS
TOTAL";"PROMEDIO 
ESFUERZOS 
REPETIDOS";Max. Vel (km/h);Metros/min;Tiempo;Rival;Número de fecha del torneo;Torneo;Fecha;Categoria de Partido;Posición;Posición Habitual;Gol?;Asistencia?;Lesión?;Edad;Peso;Altura
10;48;5.052;253;101;47;45;92;7;23;31;105,3;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Ofensivo / Extremo;0;1;0;32;62;168
3;48;5.586;329;20;34;43;77;1;20;28;116,4;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
12;48;4.686;261;54;30;33;63;5;16;28;97,6;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Lateral;0;0;0;30;65;169
6;48;5.238;349;23;22;40;62;2;20;27;109,1;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Lateral;0;0;0;29;73;177
4;43;3.875;130;71;29;32;61;3;18;31;90,1;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Delantero;1;0;0;33;91;190
9;48;5.279;145;20;18;42;60;1;20;27;110;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Central;0;0;0;21;78;188
14;48;5.264;166;3;20;34;54;0;20;25;109,7;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Central;0;0;0;26;68;171
8;48;4.748;112;37;21;21;42;3;15;29;98,9;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Defensor Central;0;0;0;22;86;186
5;5;532;42;0;4;5;9;0;4;24;106,4;1;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Delantero;0;0;0;23;82;184
10;48;4.541;336;97;48;53;101;5;24;30;94,6;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
5;48;4.169;179;13;30;30;60;0;22;27;86,9;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Delantero;0;0;0;23;82;184
9;48;4.693;205;1;27;32;59;0;19;25;97,8;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Central;0;0;0;21;78;188
20;36;3.649;120;10;25;30;55;1;12;27;101,4;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Defensor Central;0;0;0;23;79;182
8;48;4.118;170;40;25;24;49;3;15;28;85,8;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Defensor Central;0;0;0;22;86;186
21;26;2.438;184;18;22;25;47;1;11;29;93,8;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Delantero;0;0;0;22;75;189
6;48;4.367;165;7;18;25;43;1;12;26;91;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Lateral;0;0;0;29;73;177
14;48;4.769;153;15;15;27;42;1;14;27;99,4;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Central;0;0;0;26;68;171
3;26;2.896;90;0;13;25;38;0;10;25;111,4;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
17;22;2.220;172;76;16;21;37;4;9;32;100,9;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Lateral;0;0;0;23;69;170
12;11;1.084;19;0;12;17;29;0;5;21;98,5;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Lateral;0;0;1;30;65;169
16;26;2.381;61;6;13;13;26;0;7;26;91,6;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Lateral;0;0;0;34;66;174
19;22;2.283;114;10;6;15;21;1;7;26;103,8;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Central;0;0;0;28;70;170
22;22;1.179;54;3;2;4;6;0;1;26;53,6;2;Fluminense;8vos;Libertadores;01/08/2023;Importante;;Volante Ofensivo;0;0;0;28;70;187
11;46;5.639;337;108;47;56;103;5;27;31;122,6;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Central;0;0;0;24;63;170
3;46;5.290;322;28;37;50;87;1;23;28;115;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
10;46;5.045;235;68;33;51;84;5;21;29;109,7;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
21;46;4.856;347;36;33;36;69;3;18;28;105,6;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Delantero;0;0;0;22;75;189
1;46;4.774;186;55;33;35;68;4;20;30;103,8;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral / Volante;0;0;0;23;60;166
9;46;5.295;209;47;19;40;59;2;21;28;115,1;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Central;0;0;0;21;78;188
6;46;5.084;159;83;23;28;51;4;17;29;110,5;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral;0;0;0;29;73;177
20;46;4.956;120;31;21;26;47;2;13;27;107,7;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Defensor Central;0;0;0;23;79;182
8;46;4.538;85;21;17;16;33;1;8;33;98,7;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Defensor Central;0;0;0;22;86;186
14;46;5.277;217;5;7;20;27;0;13;26;114,7;1;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Central;0;0;0;26;68;171
1;49;4.602;368;120;44;37;81;6;20;31;93,9;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral / Volante;0;0;0;23;60;166
11;41;4.725;383;64;32;43;75;3;19;29;115,2;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Central;0;0;0;24;63;170
13;42;4.630;477;136;30;34;64;5;21;32;110,2;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral / Volante;0;0;0;23;68;172
6;53;5.154;138;111;25;37;62;4;19;31;97,2;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral;0;0;0;29;73;177
9;53;5.632;285;37;13;40;53;2;14;28;106,3;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Central;0;0;0;21;78;188
10;42;4.281;238;168;22;29;51;8;18;31;101,9;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
8;53;4.761;122;70;24;26;50;2;14;29;89,8;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Defensor Central;0;0;0;22;86;186
2;14;1.513;137;15;19;14;33;1;9;28;108,1;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral / Volante;0;0;0;25;70;177
3;38;4.080;208;42;11;22;33;2;13;27;107,4;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
14;53;5.418;180;20;12;21;33;1;11;27;102,2;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Central;0;0;0;26;68;171
20;42;3.922;77;20;14;19;33;2;7;28;93,4;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Defensor Central;0;0;0;23;79;182
21;10;1.111;65;51;6;7;13;3;3;30;111,1;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Delantero;0;0;0;22;75;189
17;9;888;46;42;3;5;8;1;3;34;98,7;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Lateral;0;0;0;23;69;170
22;9;775;19;10;7;0;7;1;4;27;86,1;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Volante Ofensivo;0;0;0;28;70;187
5;9;874;41;0;1;5;6;0;4;24;97,1;2;Fluminense;8vos;Libertadores;08/08/2023;Importante;;Delantero;0;0;0;23;82;184
11;48;5.663;433;57;57;81;138;3;29;27;118;1;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;24;63;170
10;48;5.034;368;85;38;54;92;5;22;29;104,9;1;River;1;Torneo Local;20/08/2023;Importante;;Volante Ofensivo / Extremo;0;1;0;32;62;168
1;48;4.730;313;89;40;39;79;5;27;32;98,5;1;River;1;Torneo Local;20/08/2023;Importante;;Lateral / Volante;0;1;0;23;60;166
3;48;5.667;393;24;36;42;78;2;21;27;118,1;1;River;1;Torneo Local;20/08/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
21;48;4.956;306;99;28;48;76;4;21;30;103,3;1;River;1;Torneo Local;20/08/2023;Importante;;Delantero;1;0;0;22;75;189
20;48;5.176;277;67;33;34;67;4;22;30;107,8;1;River;1;Torneo Local;20/08/2023;Importante;;Defensor Central;0;0;0;23;79;182
6;48;5.176;211;46;26;35;61;2;26;29;107,8;1;River;1;Torneo Local;20/08/2023;Importante;;Lateral;0;0;0;29;73;177
8;48;4.624;153;62;22;34;56;4;18;31;96,3;1;River;1;Torneo Local;20/08/2023;Importante;;Defensor Central;1;0;0;22;86;186
9;48;5.375;233;4;21;34;55;0;21;26;112;1;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;21;78;188
14;48;5.436;254;43;19;29;48;4;15;27;113,3;1;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;26;68;171
11;52;5.972;531;146;51;61;112;7;32;29;114,8;2;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;24;63;170
10;41;4.344;376;225;44;46;90;11;20;31;106;2;River;1;Torneo Local;20/08/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
1;41;4.313;452;118;33;34;67;3;21;33;105,2;2;River;1;Torneo Local;20/08/2023;Importante;;Lateral / Volante;0;0;0;23;60;166
21;34;3.349;200;74;28;35;63;3;15;30;98,5;2;River;1;Torneo Local;20/08/2023;Importante;;Delantero;1;0;0;22;75;189
3;34;4.075;387;37;28;32;60;3;15;27;119,9;2;River;1;Torneo Local;20/08/2023;Importante;;Volante / Extremo;0;1;0;27;70;178
9;39;4.217;215;54;24;34;58;2;19;30;108,1;2;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;21;78;188
8;52;4.973;174;48;28;24;52;2;17;30;95,6;2;River;1;Torneo Local;20/08/2023;Importante;;Defensor Central;0;0;0;22;86;186
14;52;5.783;353;28;23;27;50;2;18;27;111,2;2;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;26;68;171
20;52;5.202;304;16;19;30;49;1;15;26;100;2;River;1;Torneo Local;20/08/2023;Importante;;Defensor Central;0;0;0;23;79;182
6;52;5.298;239;51;19;28;47;3;18;29;101,9;2;River;1;Torneo Local;20/08/2023;Importante;;Lateral;0;0;0;29;73;177
2;18;2.077;173;57;21;19;40;3;11;29;115,4;2;River;1;Torneo Local;20/08/2023;Importante;;Lateral / Volante;0;0;0;25;70;177
17;10;1.193;76;76;9;19;28;4;8;31;119,3;2;River;1;Torneo Local;20/08/2023;Importante;;Lateral;0;0;0;23;69;170
5;18;1.968;142;5;10;14;24;0;9;26;109,3;2;River;1;Torneo Local;20/08/2023;Importante;;Delantero;0;0;0;23;82;184
24;10;1.241;56;15;6;12;18;1;6;28;124,1;2;River;1;Torneo Local;20/08/2023;Importante;;Volante Ofensivo;0;0;0;22;67;182
19;13;1.458;81;3;4;7;11;0;4;25;112,2;2;River;1;Torneo Local;20/08/2023;Importante;;Volante Central;0;0;0;28;70;170
10;48;5.687;341;197;51;59;110;9;29;30;118,5;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
21;48;5.859;389;197;33;54;87;9;24;30;122,1;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Delantero;1;0;0;22;75;189
3;48;6.500;294;25;31;43;74;2;24;26;135,4;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante / Extremo;0;0;0;27;70;178
1;48;5.619;324;115;40;34;74;5;24;31;117,1;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Lateral / Volante;0;0;0;23;60;166
9;48;6.039;380;31;30;41;71;2;21;27;125,8;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Central;0;0;0;21;78;188
4;48;5.086;276;98;31;35;66;5;23;29;106;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Delantero;1;0;0;33;91;190
6;48;5.521;277;31;22;35;57;3;26;26;115;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Lateral;0;0;0;29;73;177
20;48;5.639;203;18;23;34;57;1;15;27;117,5;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Defensor Central;0;0;0;23;79;182
14;48;6.283;224;36;15;35;50;2;19;28;130,9;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Central;0;0;0;26;68;171
8;48;5.368;186;0;18;27;45;0;10;25;111,8;1;Arsenal;2;Torneo Local;25/08/2023;Normal;;Defensor Central;0;0;0;22;86;186
21;50;4.661;215;59;39;39;78;3;22;30;93,2;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Delantero;0;0;0;22;75;189
1;50;4.945;315;85;33;30;63;4;21;30;98,9;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Lateral / Volante;0;0;0;23;60;166
8;50;4.860;144;73;29;28;57;3;21;30;97,2;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Defensor Central;0;0;0;22;86;186
6;50;5.052;214;40;22;35;57;1;16;29;101;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Lateral;0;0;0;29;73;177
20;32;3.326;145;13;22;33;55;1;12;27;103,9;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Defensor Central;0;0;0;23;79;182
2;35;3.632;298;76;20;27;47;3;15;29;103,8;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Lateral / Volante;0;0;0;25;70;177
9;50;5.393;249;61;16;28;44;3;16;29;107,9;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Central;0;0;0;21;78;188
10;15;1.872;131;61;20;23;43;3;10;30;124,8;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
14;33;3.646;108;13;15;26;41;1;12;26;110,5;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Central;0;0;0;26;68;171
3;33;3.658;251;3;15;24;39;0;14;25;110,8;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante / Extremo;0;0;0;27;70;178
28;17;2.174;155;55;13;21;34;2;12;32;127,9;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Defensor Central;0;0;0;21;75;186
4;15;1.496;93;23;10;17;27;1;9;31;99,7;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Delantero;0;0;0;33;91;190
5;34;3.366;164;43;6;20;26;3;8;29;99;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Delantero;0;0;0;23;82;184
17;18;1.780;108;44;9;12;21;2;8;31;98,9;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Lateral;0;0;0;23;69;170
24;3;346;10;0;1;3;4;0;2;21;115,3;2;Arsenal;2;Torneo Local;25/08/2023;Normal;;Volante Ofensivo;0;0;0;22;67;182
11;49;5.797;326;11;54;50;104;0;23;26;118,3;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Central;0;0;0;24;63;170
10;49;5.290;387;149;43;44;87;7;20;31;108;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
21;49;4.961;275;105;42;40;82;6;21;31;101,2;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Delantero;1;0;0;22;75;189
1;49;5.044;283;122;38;33;71;4;23;30;102,9;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Lateral / Volante;0;1;0;23;60;166
8;49;5.055;214;15;30;35;65;1;22;26;103,2;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Defensor Central;0;0;0;22;86;186
4;49;4.463;149;50;25;39;64;3;21;30;91,1;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Delantero;1;0;0;33;91;190
3;49;5.765;326;34;25;37;62;2;17;28;117,7;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante / Extremo;0;0;0;27;70;178
6;49;5.091;148;7;28;25;53;1;16;26;103,9;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Lateral;0;0;0;29;73;177
25;49;4.748;176;66;19;30;49;4;14;30;96,9;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Defensor Central;0;0;0;35;80;178
9;49;5.175;165;12;19;27;46;1;18;27;105,6;1;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Central;0;0;0;21;78;188
11;50;5.745;573;56;50;60;110;4;33;29;114,9;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Central;0;0;0;24;63;170
21;48;4.211;221;103;36;43;79;5;17;30;87,7;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Delantero;0;0;0;22;75;189
8;50;5.468;293;8;36;36;72;1;28;26;109,4;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Defensor Central;0;0;0;22;86;186
4;50;4.248;137;115;36;36;72;5;17;31;85;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Delantero;0;0;0;33;91;190
10;37;4.117;307;113;29;35;64;4;21;31;111,3;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
1;50;4.017;183;6;27;35;62;0;16;27;80,3;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Lateral / Volante;0;0;0;23;60;166
6;50;5.571;189;15;32;28;60;1;21;26;111,4;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Lateral;0;0;0;29;73;177
25;50;4.670;125;44;25;30;55;3;17;31;93,4;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Defensor Central;0;0;0;35;80;178
9;50;5.301;182;43;28;26;54;2;20;29;106;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Central;0;0;0;21;78;188
22;28;3.242;201;25;23;19;42;3;15;27;115,8;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante Ofensivo;0;0;0;28;70;187
17;13;1.417;64;56;14;14;28;2;7;30;109;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Lateral;0;0;0;23;69;170
3;22;2.496;108;10;13;9;22;1;7;28;113,5;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Volante / Extremo;0;0;0;27;70;178
13;3;404;31;0;5;5;10;0;2;25;134,7;2;Atletico de Tucuman;3;Torneo Local;03/09/2023;Normal;;Lateral / Volante;0;0;0;23;68;172
24;48;6.010;347;39;44;60;104;3;25;27;125,2;1;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Ofensivo;0;0;0;22;67;182
21;48;5.369;426;120;45;47;92;8;25;30;111,9;1;Colon;6;Torneo Local;25/09/2023;Normal;;Delantero;1;0;0;22;75;189
8;48;5.206;270;43;40;49;89;3;22;29;108,5;1;Colon;6;Torneo Local;25/09/2023;Normal;;Defensor Central;0;0;0;22;86;186
10;48;5.583;459;137;33;52;85;9;27;32;116,3;1;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
6;48;5.474;309;29;40;39;79;3;28;28;114;1;Colon;6;Torneo Local;25/09/2023;Normal;;Lateral;0;0;0;29;73;177
25;48;4.964;177;48;33;43;76;4;18;28;103,4;1;Colon;6;Torneo Local;25/09/2023;Normal;;Defensor Central;0;0;0;35;80;178
9;48;5.346;269;31;28;38;66;3;20;27;111,4;1;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Central;0;1;0;21;78;188
1;40;4.420;269;102;29;33;62;5;17;30;110,5;1;Colon;6;Torneo Local;25/09/2023;Normal;;Lateral / Volante;0;0;0;23;60;166
4;48;4.659;216;157;28;33;61;8;17;32;97,1;1;Colon;6;Torneo Local;25/09/2023;Normal;;Delantero;0;0;0;33;91;190
22;48;5.887;398;82;30;30;60;6;26;28;122,6;1;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Ofensivo;0;0;0;28;70;187
16;8;906;35;5;6;6;12;0;2;25;113,3;1;Colon;6;Torneo Local;25/09/2023;Normal;;Lateral;0;0;0;34;66;174
6;49;4.856;163;28;28;44;72;1;19;29;99,1;2;Colon;6;Torneo Local;25/09/2023;Normal;;Lateral;0;0;0;29;73;177
16;49;4.495;213;87;32;31;63;3;15;30;91,7;2;Colon;6;Torneo Local;25/09/2023;Normal;;Lateral;0;0;0;34;66;174
21;49;4.185;158;59;21;38;59;2;14;28;85,4;2;Colon;6;Torneo Local;25/09/2023;Normal;;Delantero;0;0;0;22;75;189
24;34;3.499;231;52;21;25;46;3;14;29;102,9;2;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Ofensivo;0;0;0;22;67;182
8;49;4.514;138;100;21;25;46;5;19;30;92,1;2;Colon;6;Torneo Local;25/09/2023;Normal;;Defensor Central;0;0;0;22;86;186
9;49;4.397;233;19;20;25;45;1;13;27;89,7;2;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Central;0;0;0;21;78;188
4;49;3.692;83;27;24;21;45;1;12;31;75,3;2;Colon;6;Torneo Local;25/09/2023;Normal;;Delantero;0;0;0;33;91;190
10;34;3.288;156;104;19;23;42;5;14;32;96,7;2;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
25;49;4.227;191;26;21;20;41;2;13;27;86,3;2;Colon;6;Torneo Local;25/09/2023;Normal;;Defensor Central;0;0;0;35;80;178
19;49;4.787;109;26;15;23;38;2;13;28;97,7;2;Colon;6;Torneo Local;25/09/2023;Normal;;Volante Central;0;0;0;28;70;170
3;15;1.766;130;0;8;15;23;0;5;24;117,7;2;Colon;6;Torneo Local;25/09/2023;Normal;;Volante / Extremo;0;0;0;27;70;178
13;15;1.648;127;48;10;8;18;2;6;28;109,9;2;Colon;6;Torneo Local;25/09/2023;Normal;;Lateral / Volante;0;0;0;23;68;172
11;47;4.803;248;21;42;48;90;1;27;29;102,2;1;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Central;0;0;0;24;63;170
10;47;4.999;312;66;37;41;78;4;22;30;106,4;1;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
23;47;5.035;300;66;37;41;78;4;24;28;107,1;1;Platense;7;Torneo Local;02/10/2023;Importante;;Lateral;0;0;0;20;74;177
21;47;4.571;262;56;37;39;76;3;19;28;97,3;1;Platense;7;Torneo Local;02/10/2023;Importante;;Delantero;0;0;0;22;75;189
3;47;5.372;326;53;35;36;71;4;20;27;114,3;1;Platense;7;Torneo Local;02/10/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
22;47;4.811;261;94;42;29;71;6;21;29;102,4;1;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Ofensivo;0;0;0;28;70;187
6;47;4.552;119;7;29;30;59;0;16;26;96,9;1;Platense;7;Torneo Local;02/10/2023;Importante;;Lateral;0;0;0;29;73;177
25;47;4.440;87;0;21;38;59;0;15;24;94,5;1;Platense;7;Torneo Local;02/10/2023;Importante;;Defensor Central;0;0;0;35;80;178
8;47;4.594;119;23;19;29;48;1;17;27;97,7;1;Platense;7;Torneo Local;02/10/2023;Importante;;Defensor Central;0;0;0;22;86;186
9;47;4.737;186;1;20;24;44;0;13;25;100,8;1;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Central;0;0;0;21;78;188
10;52;5.654;489;288;45;52;97;15;30;31;108,7;2;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
21;52;4.702;284;74;47;44;91;4;24;30;90,4;2;Platense;7;Torneo Local;02/10/2023;Importante;;Delantero;0;0;0;22;75;189
11;52;5.229;431;85;36;37;73;5;23;30;100,6;2;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Central;0;0;0;24;63;170
8;52;5.447;274;65;35;32;67;3;27;29;104,8;2;Platense;7;Torneo Local;02/10/2023;Importante;;Defensor Central;0;0;0;22;86;186
3;52;6.159;466;90;34;24;58;7;26;27;118,4;2;Platense;7;Torneo Local;02/10/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
9;52;5.341;248;49;24;33;57;3;19;29;102,7;2;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Central;0;0;0;21;78;188
22;45;4.828;359;72;28;23;51;2;15;31;107,3;2;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Ofensivo;0;0;0;28;70;187
1;37;3.516;296;22;20;13;33;1;15;27;95;2;Platense;7;Torneo Local;02/10/2023;Importante;;Lateral / Volante;0;0;0;23;60;166
6;52;5.242;152;42;17;15;32;3;13;29;100,8;2;Platense;7;Torneo Local;02/10/2023;Importante;;Lateral;0;0;0;29;73;177
26;29;2.717;140;15;15;10;25;1;10;26;93,7;2;Platense;7;Torneo Local;02/10/2023;Importante;;Defensor Central;0;0;0;31;74;183
23;15;1.786;195;48;8;15;23;3;6;31;119,1;2;Platense;7;Torneo Local;02/10/2023;Importante;;Lateral;0;0;0;20;74;177
24;7;840;59;0;7;8;15;0;3;24;120;2;Platense;7;Torneo Local;02/10/2023;Importante;;Volante Ofensivo;0;0;0;22;67;182
25;23;2.150;79;9;8;7;15;1;5;27;93,5;2;Platense;7;Torneo Local;02/10/2023;Importante;;Defensor Central;0;0;0;35;80;178
11;46;5.754;506;85;60;63;123;7;36;29;125,1;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante Central;0;0;0;24;63;170
21;46;4.658;223;136;35;51;86;7;27;31;101,3;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Delantero;0;0;0;22;75;189
10;46;5.294;301;142;37;48;85;7;20;32;115,1;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
6;46;5.378;200;36;34;43;77;2;22;32;116,9;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Lateral;0;0;0;29;73;177
1;46;4.941;243;153;41;35;76;8;23;32;107,4;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Lateral / Volante;0;0;0;23;60;166
3;46;5.784;345;36;31;40;71;3;21;28;125,7;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante / Extremo;0;0;0;27;70;178
14;46;5.483;234;25;28;38;66;3;24;26;119,2;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante Central;0;0;0;26;68;171
9;46;5.127;170;31;27;35;62;2;20;27;111,5;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante Central;0;0;0;21;78;188
8;46;5.083;179;31;27;34;61;2;20;30;110,5;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Defensor Central;0;0;0;22;86;186
26;46;5.064;133;14;21;28;49;1;15;28;110,1;1;Independiente;8;Torneo Local;07/10/2023;Normal;;Defensor Central;0;0;0;31;74;183
11;49;5.508;431;112;52;70;122;5;31;30;112,4;2;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante Central;0;0;0;24;63;170
10;49;4.980;316;93;39;44;83;6;26;30;101,6;2;Independiente;8;Torneo Local;07/10/2023;Normal;;Volante Ofensivo / Extremo;0;0;0;32;62;168
21;49;4.392;177;128;31;43;74;7;23;31;89,6;2;Independiente;8;Torneo Local;07/10/2023;Normal;;Delantero;0;0;0;22;75;189
